split,order,manifest_position,pair_id,manifest_label,reference_label,shared_words,transcript_min_coverage,transcript_dice,transcript_iou,visual_score,normalized_sw_score,mean_path_cosine,joint_coverage,line1_coverage,line2_coverage,path_steps,image1,image2,threshold,predicted_label
valid,1,3,pair_000059,no_shared_content,0,0,0.0,0.0,0.0,0.4520828814436579,0.8438142429698597,0.6279514237590458,0.535761140808103,0.552,0.52,46,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_07.png,0.5186616029109827,0
valid,2,106,pair_000059,high_match,1,7,0.7,0.6666666666666666,0.5,0.8298835421753323,1.9982406071254186,0.8536112600316604,0.41530711527735714,0.44,0.392,48,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_05.png,0.5186616029109827,1
valid,3,241,pair_000059,no_shared_content,0,0,0.0,0.0,0.0,0.25406289723150866,0.49208911259969074,0.6115080976956769,0.5162944896084017,0.392,0.68,38,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_14.png,0.5186616029109827,0
valid,4,303,pair_000059,no_shared_content,0,0,0.0,0.0,0.0,0.29596087050574277,0.6173573264592811,0.4577812293498981,0.4793996245305163,0.504,0.456,41,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_02.png,0.5186616029109827,0
valid,5,698,pair_000059,no_shared_content,0,0,0.0,0.0,0.0,0.44188042750832346,0.9048849252554086,0.5742551506807406,0.48832775878501933,0.552,0.432,45,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_09.png,0.5186616029109827,0
valid,6,751,pair_000059,no_shared_content,0,0,0.0,0.0,0.0,0.2749270230315337,0.6832304000854492,0.5793132330432083,0.40239284287869737,0.44,0.368,33,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_10.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_07.png,0.5186616029109827,0
valid,7,1081,pair_000059,high_match,1,8,0.8888888888888888,0.8421052631578947,0.7272727272727273,0.8946318208277195,1.9235168905819164,0.8785880208015442,0.46510213931995625,0.52,0.416,49,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_12.png,0.5186616029109827,1
valid,8,1125,pair_000059,no_shared_content,0,0,0.0,0.0,0.0,0.3454716868346248,0.5227224415746229,0.5629980651661753,0.6609084656743323,0.728,0.6,50,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_02.png,0.5186616029109827,0
valid,9,1149,pair_000059,no_shared_content,0,0,0.0,0.0,0.0,0.3160502297018283,0.7392426611671985,0.5266753949431909,0.4275324549083964,0.408,0.448,36,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_09.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_14.png,0.5186616029109827,0
valid,10,1153,pair_000059,medium_match,1,4,0.5714285714285714,0.47058823529411764,0.3076923076923077,0.5095964292868589,0.7321787777110043,0.682681263800253,0.696,0.696,0.696,57,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/A/linesImages/line_04.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000059/B/linesImages/line_06.png,0.5186616029109827,0
